(2017-12-14 22:46:00 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 6, proc_type: 257, msg_type: 2
(2017-12-14 22:46:42 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 6, proc_type: 1048577, msg_type: 2
(2017-12-14 22:46:46 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 6, proc_type: 1048577, msg_type: 2
(2017-12-14 22:50:40 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 4, proc_type: 1048576, msg_type: 1
(2017-12-14 22:50:40 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 4, proc_type: 257, msg_type: 2
(2017-12-14 22:54:41 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 2
(2017-12-14 22:54:44 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 4, proc_type: 1048577, msg_type: 2
(2017-12-14 23:22:55 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 7, proc_type: 1048576, msg_type: 1
(2017-12-14 23:22:55 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 7, proc_type: 257, msg_type: 2
(2017-12-14 23:25:22 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 7, proc_type: 1048577, msg_type: 2
(2017-12-14 23:25:26 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 7, proc_type: 1048577, msg_type: 2
(2017-12-14 23:32:20 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 5, proc_type: 1048576, msg_type: 1
(2017-12-14 23:32:20 周四) Info:  MS: session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 5, proc_type: 257, msg_type: 2
(2017-12-15 23:26:14 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 1, proc_type: 1048576, msg_type: 1
(2017-12-15 23:26:14 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 1, proc_type: 257, msg_type: 2
(2017-12-15 23:26:24 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 1, proc_type: 257, msg_type: 2
(2017-12-15 23:26:47 周五) Info:  session_layer:rcv_lower_thread,msg_name: tips: logout, ss_id: 10000, ps_id: 1, proc_type: 1048577, msg_type: 2
(2017-12-15 23:29:27 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 2, proc_type: 1048576, msg_type: 1
(2017-12-15 23:29:27 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 2, proc_type: 257, msg_type: 2
(2017-12-15 23:31:10 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 2, proc_type: 257, msg_type: 2
(2017-12-15 23:34:16 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 2, proc_type: 257, msg_type: 2
(2017-12-15 23:38:00 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 1, proc_type: 1048576, msg_type: 1
(2017-12-15 23:38:00 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 2, proc_type: 257, msg_type: 2
(2017-12-15 23:38:00 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 2, proc_type: 1048576, msg_type: 1
(2017-12-15 23:38:00 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 2, proc_type: 257, msg_type: 2
(2017-12-15 23:38:27 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 2, proc_type: 257, msg_type: 2
(2017-12-15 23:38:28 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 2, proc_type: 257, msg_type: 2
(2017-12-15 23:41:08 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 2, proc_type: 257, msg_type: 2
(2017-12-15 23:46:09 周五) Info:  session_layer:rcv_lower_thread,msg_name: login, ss_id: 10000, ps_id: 1, proc_type: 1048576, msg_type: 1
(2017-12-15 23:46:09 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 1, proc_type: 257, msg_type: 2
(2017-12-15 23:46:17 周五) Info:  session_layer:rcv_lower_thread,msg_name: dev_type_id_data, ss_id: 10000, ps_id: 1, proc_type: 257, msg_type: 2
